State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
Florida,Automated Decision-Making,Florida Digital Bill of Rights,SB 262,1-Jul-24,"Provides consumers the right to opt-out of any form of solely automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, health care services, education enrollment, education opportunities, criminal justice, or access to basic necessities like food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $50,Active,https://laws.flrules.org/2023/201,https://laws.flrules.org/2023/201
Florida,AI CSAM,Amendment of Florida CSAM Laws,SB 1680,1-Jan-25,"Expands the scope of existing child pornography statutes to include any image that has been created, altered, adapted, or modified be electronic, mechanical, or other computer-generated means to portray a fictitious person, who a reasonable person would regard as being a real person younger than 18 years of age, engaged in sexual conduct.",Existing criminal penalties apply.,Active,https://www.flsenate.gov/Session/Bill/2024/1680/ByVersion,https://www.flsenate.gov/Session/Bill/2024/1680/ByVersion
Georgia,AI Intimate Images,Prohibition on Nude or Sexually Explicit Electronic Transmissions,Ga. Code § 16-11-90,2-May-22,"Expands the definition of non-consensual nude or sexually explicit electronic transmissions to include ""falsely created videographic or still images.""",Existing criminal penalties apply.,Active,https://www.legis.ga.gov/api/legislation/document/20132014/143392,https://www.legis.ga.gov/api/legislation/document/20132014/143392
Georgia,AI CSAM,Amendment of Georgia CSAM Law,SB 466,1-Jul-24,Clarifies that claiming CSAM was adapted or modified to appear as though an identifiable minor is engaging in sexually explicit conduct is not a defense to existing CSAM laws.,Existing criminal penalties apply.,Active,https://www.legis.ga.gov/api/legislation/document/20232024/223269,https://www.legis.ga.gov/api/legislation/document/20232024/223269
Hawaii,AI Intimate Images,Amendment to Intimate Image Law,SB 309,23-Jun-21,"Expands the scope of Hawaii's violation of privacy in the first degree to encompass the intentional creation of a nude or sexually explicit image or video of a ""composite fictitious person"" that is identifiable as an individual with intent to harm that person.",Existing penalties apply.,Active,https://data.capitol.hawaii.gov/sessions/session2021/Bills/SB309_SD1_.HTM,https://data.capitol.hawaii.gov/sessions/session2021/Bills/SB309_SD1_.HTM
Hawaii,AI in Political Advertising,Deceptive Media in Election Advertisements,SB 2687,3-Jul-24,Prohibits a person from recklessly distributing materially deceptive media (including media generated by AI) during an election cycle in reckless disregard of the risk of harming the reputation or electoral prospects of a candidate in an election or changing the voting behavior of voters in an election (with an exception for media containing proper disclaimers).,"Criminal charges and fines, plus civil action for injunctive relief and general or special damages.",Active,https://data.capitol.hawaii.gov/sessions/session2024/bills/SB2687_CD1_.pdf,https://data.capitol.hawaii.gov/sessions/session2024/bills/SB2687_CD1_.pdf
Idaho,AI Definition,Relating to Personhood,I.C. § 5-346,1-Jul-22,Prohibits the granting of personhood to artificial intelligence in the state of Idaho.,N/A,Active,https://legislature.idaho.gov/statutesrules/idstat/Title5/T5CH3/SECT5-346/,https://legislature.idaho.gov/statutesrules/idstat/Title5/T5CH3/SECT5-346/
Idaho,AI Intimate Images,Idaho Explicit Synthetic Media law,Idaho Code § 18-6606,1-Jul-24,"Prohibits any person from knowingly disclosing explicit synthetic media that realistically misrepresents an identifiable individual as engaging in conduct in which that identifiable individual did not engage where such disclosure (or threatened disclosure) could harm the individual (such as cause substantial emotional distress, or be used to threaten or harass the individual).","Misdemeanor or felony charges, and up to $25,000 in criminal fines.",Active,https://legislature.idaho.gov/statutesrules/idstat/title18/t18ch66/sect18-6606/,https://legislature.idaho.gov/statutesrules/idstat/title18/t18ch66/sect18-6606/
Illinois,AI in Employment,Artificial Intelligence Video Interview Act,820 ILCS 42,1-Jan-20,"Requires employers who use AI to analyze applicant video interviews to notify each applicant of the use of AI, explain how the AI works, and obtain the applicant's consent prior to using the AI. Requires employers who rely solely on AI to analyze video interviews to determine whether an applicant will be selected for an in-person interview to collect and report to the Department of Commerce and Economic Opportunity annually on the demographic data of the applicants",N/A,Active,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=4015&ChapterID=68,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=4015&ChapterID=68
Illinois,AI Likeness,Amendment to Right of Publicity Act,HB 4875,9-Aug-24,"Makes it unlawful for a person to knowingly distribute, transmit, or make available to the general public a sound recording or audiovisual work with actual knowledge that the work contains an unauthorized digital replica (i.e., a newly created, electronic representation of the voice, image, or likeness of an actual individual created using a computer, algorithm, software, tool, artificial intelligence, or other technology that is fixed in a sound recording or audiovisual work in which that individual did not actually perform or appear, and which a reasonable person would believe is that particular individual's voice, image, or likeness being imitated).","Actual damages, profits made from the unauthorized use, and statutory damages of $1,000.",Active,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=4875&GAID=17&DocTypeID=HB&LegId=152734&SessionID=112&GA=103,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=4875&GAID=17&DocTypeID=HB&LegId=152734&SessionID=112&GA=103
Illinois,AI Likeness,Digital Voice and Likeness Protection Act,HB 4762,9-Aug-24,Makes any provision in an agreement for the performance of personal or professional services unenforceable where: The provision allows for the creation and use of a digital replica of the individual's voice or likeness in place of work the individual would otherwise have performed in person; The provision does not include a reasonably specific description of the intended uses of the digital replica; and The individual was not represented (i) by legal counsel or (ii) by a labor union.,Unenforceability of a violating contractual provision.,Active,https://ilga.gov/legislation/publicacts/fulltext.asp?Name=103-0830,https://ilga.gov/legislation/publicacts/fulltext.asp?Name=103-0830
Illinois,AI Healthcare,The Wellness and Oversight for Psychological Resources Act,HB1806,1-Aug-25,"Solely permits the use of AI tools or systems by a licensed professional where they are used to assist in providing administrative support or supplementary support in therapy or psychotherapy services and the licensed professional maintains full responsibility for all interactions, outputs, and data use associated with the system and satisfies the other requirements of the Act. Prohibits licensed professionals from using AI to assist in providing supplementary support in therapy or psychotherapy where the client's therapeutic session is recorded or transcribed unless the patient is informed in writing of it's use and purpose and provides consent. Prohibits licensed professionals from allowing AI to make independent therapeutic decisions; directly interact with clients in any form of therapeutic communication; generate therapeutic recommendations or treatment plans without review and approval; or detect emotions or mental states.",Up to $10,Active,https://www.ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0054.pdf,https://www.ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0054.pdf
