State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
Texas,AI CSAM,Amendment to the CSAM Statutes,SB 1621,1-Sep-25,"Expands the offenses of possession of child pornography, electronic transmission of certain visual material depicting a minor, and possession or promotion of lewd visual material depicting a child to include AI-generated images.",Felony offense.,Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01621F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01621F.pdf
Texas,AI CSAM,Visual Material Appearing to Depict a Child,SB 20,1-Sep-25,"Creates a felony offense of possessing, accessing, or promoting obscene visual material of a child, regardless of whether the image is an actual child or created using artificial intelligence, or uses an image of a child with intent to train artificial intelligence to produce material constituting child pornography.",Felony offense.,Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00020F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00020F.pdf
Texas,AI Deepfakes,Financial Abuse Using Artificially Generated Media or Phishing,SB 2373,1-Sep-25,"Prohibits any person from intentionally or knowingly disseminating artificially generated media or a phishing communication for the purpose of financial exploitation. Provides that a person commits an offense if the person knowingly engages in financial abuse through the use of artificially generated media disseminated to another person or by deceiving or manipulating another person into providing personal, financial, or identifying information through e-mail, electronic communication, or other digital means.","Actual damages, damages for mental anguish, and the defendant's profits, as well as court costs and reasonable attorney's fees. Civil penalty not to exceed $1,000 per day the media or communication is disseminated. Criminal penalties and imprisonment can also apply.",Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB02373F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB02373F.pdf
Texas,AI Healthcare,Artificial Intelligence in Electronic Health Record,SB 1188,1-Sep-25,"Grants health care practitioners the ability to use artificial intelligence for diagnostic purposes, including using artificial intelligence for recommendations on a diagnosis or course of treatment based on a patient's medical record, if given conditions are met. Provides a health care practitioner using artificial intelligence for diagnostic purposes must disclose the practitioner's use of that technology to the practitioner's patients.","Injunctive relief and civil penalties of up to $5,000 for each violation that is committed negligently in a single year, $25,000 for each violation that is committed knowingly or intentionally in a single year, and $250,000 for each violation in which the covered entity knowingly or intentionally used protected health information for financial gain.",Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01188F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01188F.pdf
Texas,AI Healthcare,Use of Automated Decision System for Adverse Determinations,SB 815,1-Sep-25,"Amends the Insurance Code to prohibit a utilization review agent from using an automated decision system, including certain AI systems, to make, wholly or partly, an adverse determination (i.e., a determination by a utilization review agent that health care services provided or proposed to be provided to a patient are not medically necessary or appropriate or are experimental or investigational).","Sanctions, cease and desist orders, and administrative penalties under the Insurance Code.",Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00815F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00815F.pdf
Texas,AI in Social Media & Online Platforms,Unlawful Production or Distribution of Certain Sexually Explicit Material,HB 441,1-Sep-25,"Establishes liability for owners of internet websites, artificial intelligence applications, and payment processors involved in artificial sexual material under certain conditions, and requires persons who own an Internet website or application to make available on the website or application an easily accessible system that allows a person to submit a request for the removal of such artificial material.",Establish the criminal penalties; Class B or Class A misdemeanor or a third degree felony.,Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00441F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00441F.pdf
Texas,AI Intimate Images,Unlawful Production or Distribution of Certain Sexually Explicit Material,HB 441,1-Sep-25,"Expands what constitutes an unlawful production or distribution of certain sexually explicit visual material to include media that appears to depict a person with certain forms of intimate parts or performing certain actions without the person's consent. Establishes liability for owners of internet websites, artificial intelligence applications, and payment processors involved in such artificial sexual material under certain conditions, and requires persons who own an Internet website or application to make available on the website or application an easily accessible system that allows a person to submit a request for the removal of such artificial material.",Establish the criminal penalties; Class B or Class A misdemeanor or a third degree felony.,Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00441F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00441F.pdf
Texas,AI Intimate Images,AI Sexual Material Harmful to Minors,HB 581,1-Sep-25,"Commercial entities that operate a website with a publicly accessible tool for creating artificial sexual material harmful to minors, or otherwise makes publicly available an application for creating such material, must use reasonable age verification methods to verify an individual is 18 years of age or older. Commercial entities providing such a tool or application must also ensure that an individual used as a source for the material is 18 years of age or older and has consented to the use of the individual's face and body as a source for the material.","Civil penalty of up to $10,000 per day it operates in violation of the age verification requirements or per instance of certain other violations, and up to $250,000 if a minor accesses sexual material because of a violation.",Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00581F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00581F.pdf
Texas,Comprehensive AI,Texas Responsible Artificial Intelligence Governance Act (TRAIGA),HB 149,1-Jan-26,"Clarifies when Texas's biometric privacy law applies to AI training, development, and deployment. Requires a governmental agency that makes available an AI system intended to interact with consumers to disclose to each consumer, before or at the time of interaction, that the consumer is interacting with an AI system. Prohibits any governmental entity from using or deploying an AI social scoring system in manner that could result in detrimental or unfavorable treatment or the infringement of anyone's rights. Prohibits any government entity from developing or deploying an AI system for the purpose of uniquely identifying an individual using biometric data or the gathering of images / media from the Internet or other publicly available source without consent, if doing so would infringe on an individual's rights. Prohibits any person from developing or deploying an AI system (i) in a manner that intentionally aims to manipulate human behavior in a harmful way, (ii) with the sole intent to infringe or impair an individual's rights, (iii) with the intent to unlawfully discriminate, or (iv) with the sole intent of producing, assisting or aiding in producing, or distributing CSAM.","Subject to right to cure, up to $12,000 for curable violations, up to $200,000 for uncurable violations, and an additional $2,000 to $40,000 per day for continued violations.",Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00149F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00149F.pdf
Utah,AI Liability,Utah Artificial Intelligence Policy Act,Utah Code § 13-72-301 et seq.,1-May-24,"Establishes a voluntary program companies can participate in to reduce the regulatory burden relating to the company's development and testing of AI during the company's 12-month participation in the program in exchange for abiding by certain AI-related parameters and information sharing requirements. Set to be repealed on July 1, 2027 (as amended by SB 332)",N/A,Active,https://le.utah.gov/xcode/Title13/Chapter72/C13-72_2024050120240501.pdf,https://le.utah.gov/xcode/Title13/Chapter72/C13-72_2024050120240501.pdf
Utah,AI Privacy,Utah Artificial Intelligence Policy Act,SB 149,1-May-24,"Clarifies that data generated by computer algorithms or statistical models that do not contain personal data (i.e., synthetic data) is not ""personal data"" under the Utah Consumer Privacy Act.",N/A,Active,https://le.utah.gov/~2024/bills/static/SB0149.html,https://le.utah.gov/~2024/bills/static/SB0149.html
Utah,AI CSAM,Artificial Pornographic Images Amendments,HB 148,1-May-24,"Amends the definitions of CSAM to include """"computer generated"""" content.",Existing penalties apply.,Active,https://le.utah.gov/~2024/bills/static/HB0148.html,https://le.utah.gov/~2024/bills/static/HB0148.html
Utah,AI CSAM,Sexually Explicit Minor Amendments,HB 238,1-May-24,"Updates the definition of child sexual abuse material to include ""artificially generated and depicts an individual with substantial characteristics of a minor engaging in sexually explicit conduct.""",Existing penalties apply.,Active,https://le.utah.gov/~2024/bills/static/HB0238.html,https://le.utah.gov/~2024/bills/static/HB0238.html
Utah,AI Intimate Images,Artificial Pornographic Images Amendments,HB 148,1-May-24,"Amends the definitions of intimate image and counterfeit intimate images to include """"computer generated"""" content.",Existing penalties apply.,Active,https://le.utah.gov/~2024/bills/static/HB0148.html,https://le.utah.gov/~2024/bills/static/HB0148.html
Utah,AI in Political Advertising,Utah Information Technology Act,SB 131,1-May-24,Requires any person who uses generative AI to create audio or visual content intended to influence an election or ballot proposition to make clear disclosures including a disclaimer indicating the content is generated by AI.,"$1,000 per violation recoverable by any person bringing a claim against the relevant creator or sponsor of the political content.",Active,https://le.utah.gov/~2024/bills/static/SB0131.html,https://le.utah.gov/~2024/bills/static/SB0131.html
Utah,AI Liability,Artificial Intelligence Consumer Protection Amendments,Utah Code § 13-75-102,7-May-25,Clarifies that it is not a defense to a violation of Utah's consumer protection law that generative AI made the violative statement or undertook the violative act or was used in furtherance of the violation.,Existing penalties apply.,Active,https://le.utah.gov/Session/2025/bills/introduced/SB0226.pdf,https://le.utah.gov/Session/2025/bills/introduced/SB0226.pdf
Utah,AI Healthcare,AI Applications Related to Mental Health,Utah Code § 13-72a-101,7-May-25,"Prohibits the supplier of a mental health chatbot from: Selling or sharing with any third party any individually identifiable health information of a Utah user or user input of a Utah user (with narrow exception). Using a Utah user's input to facilitate targeted advertising. Advertising a specific product or service to a Utah user in a conversation unless an appropriate disclaimer is provided identifying the relevant advertisement and any agreement / sponsorship to promote it. Requires a mental health chatbot to clearly and conspicuously disclose that it is an AI technology (and not a human) to users before they begin to use the chatbot, upon commencement of any chatbot session (if the user has not accessed the chatbot within the previous 7 days), and whenever a user asks whether they are interacting with AI.","Fines of up to $2,500 per violation of the law, or $5,000 per violation of an order issued for a violation of the law.",Active,https://le.utah.gov/Session/2025/bills/enrolled/HB0452.pdf,https://le.utah.gov/Session/2025/bills/enrolled/HB0452.pdf
Utah,User-Facing AI,Artificial Intelligence Consumer Protection Amendments,Utah Code § 13-75-101 to 106,7-May-25,"Requires any supplier that uses generative AI to interact with individuals in connection with a consumer transaction to disclose if asked that they are interacting with generative AI and not a human being. Requires any person providing services in a regulated occupation to prominently disclose when an individual is interacting with generative AI in the provision of regulated services if the use constitutes a high-risk artificial intelligence interaction. Provides a safe harbor from liability where providing an appropriate disclosure about the use of generative AI proactively. Makes users of generative AI generally responsible for the impact of the use of the technology by clarifying it is not a defense to the violation of certain laws that generative AI made the violative statement, undertook the violative act, or was used in furtherance of the violation.","Fines of up to $2,500 per violation of the law, or $5,000 per violation of an order issued for a violation of the law.",Active,https://le.utah.gov/Session/2025/bills/introduced/SB0226.pdf,https://le.utah.gov/Session/2025/bills/introduced/SB0226.pdf
Utah,AI in Government,Law Enforcement Usage of Artificial Intelligence,Utah Code § 53-25-601 to 602,7-May-25,Requires a law enforcement agency to have a policy concerning the agency's use of generative artificial intelligence. Requires a police report or other law enforcement record to include a disclaimer if the report or record was created wholly or partially by using generative artificial intelligence as well as a certification that it has been reviewed for accuracy.,N/A,Active,https://le.utah.gov/Session/2025/bills/enrolled/SB0180.pdf,https://le.utah.gov/Session/2025/bills/enrolled/SB0180.pdf
Utah,AI Likeness,Unauthorized Artificial Intelligence Impersonation Amendments,Utah Code § 45-3-2 et. seq.,7-May-25,"Expands existing ""personal identity"" protections against abuse to include any simulation, reproduction, or artificial recreation of a person's identity (with some exception). Makes it unlawful to distribute, sell, or license any technology whose intended primary purpose is the unauthorized creation or modification of content that includes an individual's personal identity for commercial purposes.","Private right of action for injunctive relief, actual damages, exemplary damages, and reasonable attorney's fees and costs.",Active,https://le.utah.gov/Session/2025/bills/enrolled/SB0271.pdf,https://le.utah.gov/Session/2025/bills/enrolled/SB0271.pdf
Vermont,AI in Government,An Act Relating to the Use and Oversight of AI in State Government,H 410,1-Jul-22,"Requires the Agency of Digital Services to conduct an inventory of all the automated decision systems developed, employed, or procured by the Vermont State government. The act also creates various AI governance functions within the Vermont State government.",None specified.,Active,https://legislature.vermont.gov/bill/status/2022/H.0410,https://legislature.vermont.gov/bill/status/2022/H.0410
Vermont,AI Intimate Images,Amendment of non-consensual sexual image dissemination statute,H 878,6-Jun-24,"Expands the scope of Vermont's dissemination of intimate images statute to include media that has been altered ""utilizing an image or images of a person, including images other than the person depicted, or computer-generated images.""",Existing penalties apply.,Active,https://legislature.vermont.gov/Documents/2024/Docs/ACTS/ACT161/ACT161%20As%20Enacted.pdf,https://legislature.vermont.gov/Documents/2024/Docs/ACTS/ACT161/ACT161%20As%20Enacted.pdf
Virginia,AI Intimate Images,Amendment to the Unlawful Dissemination of Images of Another Statute,B 2678,1-Jul-19,"Expands the definition of unlawful dissemination of nude or sexually explicit images of another to include persons ""whose image was used in creating, adapting, or modifying a videographic or still image with the intent to depict an actual person and who is recognizable as an actual person by the person's face, likeness, or other distinguishing characteristic.""",None specified.,Active,https://law.lis.virginia.gov/vacode/title18.2/chapter8/section18.2-386.2/,https://legacylis.virginia.gov/cgi-bin/legp604.exe?191+ful+CHAP0490+pdf
Virginia,AI Healthcare,Hospital / Nursing Home Virtual Assistant Law,Va. Code Ann. § 32.1-127,1-Jul-21,"Mandates regulations to be adopted that require each hospital, nursing home, and certified nursing facility to establish and implement policies to ensure the permissible access to and use of an intelligent personal assistant provided by a patient while receiving inpatient services.",None specified.,Active,https://law.lis.virginia.gov/vacode/title32.1/chapter5/section32.1-127/,https://law.lis.virginia.gov/vacode/title32.1/chapter5/section32.1-127/
Virginia,Automated Decision-Making,Virginia Consumer Data Protection Act,Va. Code Ann. § 59.1-577A(A)(5),1-Jan-23,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial and lending services, housing, insurance, education enrollment, criminal justice, employment opportunities, healthcare services, or access to basic necessities like food and water). Imposes additional consent requirements and processing restrictions for such automated processing of children's personal data (under the age of 13). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://law.lis.virginia.gov/vacode/title59.1/chapter53/section59.1-577/,https://law.lis.virginia.gov/vacode/title59.1/chapter53/section59.1-577/
Virginia,AI CSAM,Amendment to CSAM statute,SB 731,1-Jul-24,"Clarifies that the definition of CSAM includes computer generated images of minors that do not ""actually exist.""",None specified.,Active,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0262+pdf,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0262+pdf
Virginia,AI in Government,Artificial Intelligence-Based Tools,"Code of Virginia, Section 19.2-11.14",6-Jun-25,"Requires that all decisions related to the pre-trial detention or release, prosecution, adjudication, sentencing, probation, parole, correctional supervision, or rehabilitation of criminal offenders in Virginia must be made by a human decision-maker, even if artificial intelligence-based tools are used to generate recommendations or predictions. Permits the use of any recommendation or prediction from an AI-based tool to be subject to any challenge or objection permitted by law.",N/A,Active,https://lis.blob.core.windows.net/files/1079123.PDF,https://lis.blob.core.windows.net/files/1079123.PDF
Washington,AI CSAM,Amendment of Washington CSAM Laws,HB 1999,6-Jun-24,Expands the scope of existing child pornography statutes to include circumstances involving fabricated depictions of an identifiable minor (including such depictions created using AI).,Criminal and civil penalties may apply.,Active,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Session%20Laws/House/1999-S.SL.pdf?q=20241030184202,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Session%20Laws/House/1999-S.SL.pdf?q=20241030184202
Washington,AI Intimate Images,Amendment of Washington Intimate Image Laws,HB 1999,6-Jun-24,Makes it a criminal offense to knowingly disclose a fabricated intimate image of another person where the person disclosing the image knows or should have known that the depicted person has not consented to the disclosure and knows or reasonably should know that disclosure would cause harm to the depicted person.,Criminal and civil penalties may apply.,Active,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Session%20Laws/House/1999-S.SL.pdf?q=20241030184202,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Session%20Laws/House/1999-S.SL.pdf?q=20241030184202
West Virginia,AI CSAM,"Crimes Against Chastity, Morality and Decency - CSAM",SB 198,9-Jul-25,Expands prohibition on child pornography to include computer-generated child pornography.,Criminal and civil penalties may apply.,Active,http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/sb198%20sub1%20enr.pdf,http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/sb198%20sub1%20enr.pdf
West Virginia,AI Intimate Images,"Crimes Against Chastity, Morality and Decency - Intimate Images",SB 198,9-Jul-25,Expands prohibition on the distribution of intimate images to include fabricated intimate images created using AI or other computer technology.,Criminal and civil penalties may apply.,Active,http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/sb198%20sub1%20enr.pdf,http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/sb198%20sub1%20enr.pdf
Wisconsin,AI in Political Advertising,2023 Wisconsin Act 123,Wis. Stat. § 11.1303,23-Mar-24,"Requires any political advertisement that contains express advocacy or issue advocacy, or supports or opposes a referendum, and incorporates audio or video content that is substantially produced in whole or in part by means of generative artificial intelligence to include a disclaimer indicating the content was created in whole or in part with the use of generative AI.",$1 ,Active,https://docs.legis.wisconsin.gov/statutes/statutes/11/xiii/1303,https://docs.legis.wisconsin.gov/statutes/statutes/11/xiii/1303
Wisconsin,AI CSAM,Amendment to the CSAM Statute,SB 314,4-Oct-24,"Criminalizes the possession of a computer generated ""depiction of a purported child.""",Class D Felony.,Active,https://docs.legis.wisconsin.gov/2023/related/acts/224,https://legiscan.com/WI/text/SB314/id/2817005
Wisconsin,AI in Real Estate,Advertising Enhanced by Technology Law,Wis. Stat. § 452.136(1m),1-Jan-27,"Requires a person licensed to do real estate under Wisconsin law to disclose if a real estate advertisement has been altered or modified using technology, including artificial intelligence, to add, remove, or change elements of the property that creates a false or misleading impression of the property.",Suspension or revocation or real estate license and up to $5,Active,https://docs.legis.wisconsin.gov/statutes/statutes/452/136/1m,https://docs.legis.wisconsin.gov/2025/related/acts/69
Wyoming,AI CSAM,Sexual Exploitation of Children,Wy. Code § 6-4-303,1-Jul-07,"Defines ""child pornography"" to include ""computer-generated image[s] or picture[s]"".",Existing criminal penalties apply.,Active,https://wyoleg.gov/statutes/compress/title06.pdf,https://wyoleg.gov/NXT/gateway.dll?f=templates&fn=default.htm
Wyoming,AI CSAM,Amendment to Intimate Image Law,Wy. Code § 6-4-306,1-Jul-21,"Defines intimate image to include ""computer generated image[s]"" under the unlawful dissemination of intimate images. Makes it a felony to knowingly produce, distribute, or possess such computer-generated or synthetic depictions of minors engaged in sexual acts, regardless of whether a real child was involved.",Existing penalties apply.,Active,https://wyoleg.gov/statutes/compress/title06.pdf,https://wyoleg.gov/NXT/gateway.dll?f=templates&fn=default.htm
