map_id,law_id,req_type_id,actor_id,is_mandatory,compliance_notes
809,187,1,1,true,
810,187,1,2,true,
811,187,2,1,true,
812,187,2,2,true,
813,187,3,1,true,
814,187,3,2,true,
815,187,4,2,true,
816,187,5,2,true,
817,187,6,1,true,
818,187,7,1,true,
819,187,7,2,true,
820,187,7,3,true,
821,207,1,1,true,
822,207,1,2,true,
823,207,1,3,true,
824,207,2,1,true,
825,207,2,2,true,
826,208,1,1,true,
827,208,1,2,true,
828,208,2,1,true,
829,208,2,2,true,
830,208,3,1,true,
831,208,4,1,true,
832,208,5,1,true,
833,208,5,2,true,
834,208,6,1,true,
835,208,6,2,true,
836,208,7,1,true,
837,208,8,1,true,
838,208,8,2,true,
839,209,1,1,true,
840,210,1,1,true,
841,221,1,1,true,
842,224,1,2,true,
